,m/z A,m/z B,Ranking,selected_total,charge_A,charge_B,explanation_A,explanation_B,parent_isotope_idx,isotopic_classification,deviation_A,deviation_B,deviation,theoretical_mass_A,theoretical_mass_B
68,930.911752,953.020518,68,3767.86454,2,2,b17,y16,0.0,Parent,0.00884400000018104,0.010385999999925843,0.020409999999174033,1860.8068199999998,1905.0228100000002
85,705.381744,1020.82773,86,3767.864934,1,3,y6,b27,0.0,Parent,0.004033999999933258,0.015589999999519932,0.020803999999316147,705.3777100000001,3060.4519200000004
99,476.274275,1097.1974,101,3767.866475,1,3,y4,b29,0.0,Parent,0.002824999999972988,0.018339999999625434,0.02234499999894979,476.27145,3289.5581800000004
100,577.322546,1063.513942,102,3767.864372,1,3,y5,b28,0.0,Parent,0.003415999999901942,0.015645999999833293,0.020241999999143445,577.3191300000001,3188.5105000000003
111,818.466536,983.1326,117,3767.864336,1,3,y7,b26,0.0,Parent,0.004765999999904125,0.014259999999922002,0.020205999999234336,818.4617700000001,2947.3678600000003
171,539.203433,1344.730161,212,3767.867188,2,2,b10,y23,0.0,Parent,0.0048659999999927095,0.017011999998885585,0.023057999999309686,1077.39416,2688.435470000001
175,616.340608,1267.59262,218,3767.8664559999997,2,2,y10,b23,0.0,Parent,0.005305999999791311,0.015839999999570864,0.022325999998884072,1231.6680700000002,2534.16156
184,703.291495,1180.641459,230,3767.8659079999998,2,2,b13,y20,0.0,Parent,0.006320000000187065,0.014277999999194435,0.021777999998903397,1405.56883,2360.2608000000005
188,917.501688,966.430778,237,3767.864932,2,2,y15,b18,0.0,Parent,0.009835999999722844,0.00978600000030383,0.020801999999093823,1833.9857000000002,1931.8439299999998
194,881.982424,1001.949824,262,3767.864496,2,2,y14,b19,0.0,Parent,0.008417999999892345,0.010768000000325628,0.020365999999285123,1762.9485900000002,2002.8810399999998
195,845.396306,1231.675462,267,3767.86438,3,1,b23,y10,0.0,Parent,0.011677999999847088,0.007391999999754262,0.020249999999123247,2534.16156,1231.6680700000002
196,235.093728,1177.590897,269,3767.866419,1,3,y2,b31,0.0,Parent,0.0012980000000197833,0.01981099999966318,0.022288999999091175,235.09242999999998,3530.7372000000005
204,409.736522,1474.196622,293,3767.8662879999997,2,2,y7,b26,0.0,Parent,0.0034339999998564963,0.017543999999361404,0.022157999998853484,818.4617700000001,2947.3678600000003
207,759.833904,1124.0988,297,3767.8654079999997,2,2,b14,y19,0.0,Parent,0.007078000000092288,0.013019999999414722,0.021277999998801533,1518.6528899999998,2247.1767400000003
