,m/z A,m/z B,Ranking,selected_total,charge_A,charge_B,explanation_A,explanation_B,parent_isotope_idx,isotopic_classification,deviation_A,deviation_B,deviation,theoretical_mass_A,theoretical_mass_B
0,300.156407,654.359227,3,1608.874861,1,2,b3,y12,0.0,Parent,0.0010470000000282198,0.004053999999996449,0.005691000000069835,300.15536,1307.70656
2,415.183883,596.845575,9,1608.875033,1,2,b4,y11,0.0,Parent,0.001583000000039192,0.0036900000000059663,0.005863000000090324,415.18229999999994,1192.67962
3,599.30583,504.784561,10,1608.8749520000001,1,2,b6,y9,0.0,Parent,0.002360000000066975,0.0028319999998984713,0.005782000000181142,599.30347,1008.5584500000001
4,528.268562,540.30326,12,1608.875082,1,2,b5,y10,0.0,Parent,0.0022020000000111395,0.003119999999853462,0.0059120000000802975,528.26636,1079.5955600000002
5,489.73711,629.40075,18,1608.8749699999998,2,1,b10,y5,0.0,Parent,0.002499999999940883,0.002709999999979118,0.005799999999908323,978.46388,629.39804
7,814.482029,397.19662,24,1608.8752690000001,1,2,y7,b8,0.0,Parent,0.003948999999920488,0.001560000000040418,0.006099000000176602,814.4780800000001,793.38384
9,554.258768,500.357482,34,1608.8750180000002,2,1,b11,y4,0.0,Parent,0.0032260000000405853,0.0020320000000424443,0.005848000000241882,1107.50647,500.35544999999996
11,757.460091,425.707564,36,1608.875219,1,2,y6,b9,0.0,Parent,0.003470999999990454,0.0019879999999830034,0.006049000000075466,757.45662,850.4053
12,1008.563901,300.156407,45,1608.8767149999999,1,2,y9,b6,0.0,Parent,0.0054509999998799685,0.0015040000000681175,0.007544999999936408,1008.5584500000001,599.30347
16,603.793117,401.288604,61,1608.8748380000002,2,1,b12,y3,0.0,Parent,0.0035139999999955762,0.001564000000030319,0.005668000000241591,1206.5748800000001,401.28704
13,596.845575,416.187017,49,1609.878167,2,1,y11,b4+1,0.999999999999955,b+1,0.0036900000000059663,0.0013670000000729488,0.005647000000180924,1192.67962,416.18564999999995
14,500.357482,554.760058,52,1609.877598,1,2,y4,b11+1,0.999999999999955,b+1,0.0020320000000424443,0.0024559999999382853,0.005078000000139582,500.35544999999996,1108.50982
15,529.270973,540.30326,58,1609.877493,1,2,b5+1,y10,0.999999999999955,b+1,0.0012630000001081498,0.003119999999853462,0.004973000000063621,529.2697099999999,1079.5955600000002
21,654.359227,301.159861,119,1609.878315,2,1,y12,b3+1,0.999999999999955,b+1,0.004053999999996449,0.0011509999999930187,0.0057950000000346336,1307.70656,301.15871
1,300.156407,654.860832,6,1609.8780709999999,1,2,b3,y12+1,0.999999999999955,y+1,0.0010470000000282198,0.003913999999895168,0.005550999999968553,300.15536,1308.70991
6,597.346987,415.183883,22,1609.877857,2,1,y11+1,b4,0.999999999999955,y+1,0.0031639999999697466,0.001583000000039192,0.005337000000054104,1193.68297,415.18229999999994
8,540.804661,528.268562,32,1609.877884,2,1,y10+1,b5,0.999999999999955,y+1,0.002571999999872787,0.0022020000000111395,0.005364000000099622,1080.5989100000002,528.26636
10,505.285893,599.30583,35,1609.877616,2,1,y9+1,b6,0.999999999999955,y+1,0.0021459999999251522,0.002360000000066975,0.005096000000094136,1009.5618000000001,599.30347
17,815.484834,397.19662,63,1609.878074,1,2,y7+1,b8,0.999999999999955,y+1,0.003403999999932239,0.001560000000040418,0.005554000000074666,815.48143,793.38384
18,489.73711,630.403825,72,1609.878045,2,1,b10,y5+1,0.999999999999955,y+1,0.002499999999940883,0.0024349999999913052,0.005525000000034197,978.46388,630.40139
19,758.462697,425.707564,77,1609.877825,1,2,y6+1,b9,0.999999999999955,y+1,0.002727000000049884,0.0019879999999830034,0.005305000000134896,758.45997,850.4053
20,1009.566717,300.156407,100,1609.879531,1,2,y9+1,b6,0.999999999999955,y+1,0.004916999999977634,0.0015040000000681175,0.00701100000014776,1009.5618000000001,599.30347
